2000,   2,  24,-117.939,  33.831,   0.270,   0.278,  -1.000,
2000,   2,  26,-117.939,  33.831,  -1.000,   0.325,  -1.000,
2000,   3,   2,-117.939,  33.831,   0.450,   0.199,   0.222,
2000,   3,  10,-117.939,  33.831,  -1.000,   0.091,   0.055,
2000,   3,  11,-117.939,  33.831,  -1.000,   0.056,   0.021,
2000,   3,  13,-117.939,  33.831,  -1.000,   0.556,   0.161,
2000,   3,  14,-117.939,  33.831,   0.040,   0.316,   0.303,
2000,   3,  17,-117.939,  33.831,   0.470,   0.467,   0.007,
2000,   3,  18,-117.939,  33.831,  -1.000,   0.258,   0.303,
2000,   3,  21,-117.939,  33.831,   0.020,   0.116,   0.074,
2000,   3,  22,-117.939,  33.831,  -1.000,   0.054,   0.008,
2000,   3,  23,-117.939,  33.831,  -1.000,   0.202,  -1.000,
2000,   3,  26,-117.939,  33.831,  -1.000,   0.194,   0.172,
2000,   3,  30,-117.939,  33.831,   0.050,   0.137,   0.073,
2000,   3,  31,-117.939,  33.831,  -1.000,   0.076,   0.049,
2000,   4,   1,-117.939,  33.831,   0.030,   0.200,   0.298,
2000,   4,   2,-117.939,  33.831,   0.180,   0.149,   0.051,
2000,   4,   3,-117.939,  33.831,   0.500,   0.270,   0.334,
2000,   4,   4,-117.939,  33.831,  -1.000,   0.379,   0.193,
2000,   4,   5,-117.939,  33.831,  -1.000,   0.148,  -1.000,
2000,   4,   6,-117.939,  33.831,  -1.000,   0.117,  -1.000,
2000,   4,   8,-117.939,  33.831,   0.040,   0.416,   0.351,
2000,   4,  10,-117.939,  33.831,  -1.000,   0.305,   0.180,
2000,   4,  11,-117.939,  33.831,  -1.000,   0.252,   0.189,
2000,   4,  19,-117.939,  33.831,   0.020,   0.042,   0.018,
2000,   4,  20,-117.939,  33.831,  -1.000,   0.277,   0.132,
2000,   4,  24,-117.939,  33.831,   0.050,   0.388,   0.388,
2000,   4,  29,-117.939,  33.831,   0.020,   0.095,   0.099,
2000,   4,  30,-117.939,  33.831,   0.240,   0.199,   0.109,
2000,   5,   1,-117.939,  33.831,   0.020,   0.027,   0.004,
2000,   5,   2,-117.939,  33.831,   0.170,   0.175,   0.060,
2000,   5,   3,-117.939,  33.831,   0.050,   0.261,   0.439,
2000,   5,   4,-117.939,  33.831,  -1.000,   0.345,  -1.000,
